马赫数,攻角,模型雷诺数,缩比,壁温比,静温,壁温,升力系数
4,-2,2103000,50,0.96,71,288,-0.067525421
4,0,2103000,50,0.96,71,288,0.036314897
4,2,2103000,50,0.96,71,288,0.14685012
4,4,2103000,50,0.96,71,288,0.264132486
4,6,2103000,50,0.96,71,288,0.38596883
4,8,2103000,50,0.96,71,288,0.510964141
4,0,2106000,50,0.72,95,288,0.034890523
4,2,2106000,50,0.72,95,288,0.145543406
4,4,2106000,50,0.72,95,288,0.263289621
4,6,2106000,50,0.72,95,288,0.385172628
4,8,2106000,50,0.72,95,288,0.509977411
4,-2,2103000,50,0.58,119,288,-0.069353566
4,0,2103000,50,0.58,119,288,0.034206608
4,2,2103000,50,0.58,119,288,0.144803935
4,4,2103000,50,0.58,119,288,0.26267619
4,6,2103000,50,0.58,119,288,0.38460563
4,8,2103000,50,0.58,119,288,0.509190442
4,-2,2103000,50,0.48,143,288,-0.069617083
4,0,2103000,50,0.48,143,288,0.033824644
4,2,2103000,50,0.48,143,288,0.144360981
4,4,2103000,50,0.48,143,288,0.261953032
4,6,2103000,50,0.48,143,288,0.383919923
4,8,2103000,50,0.48,143,288,0.508537765
4,-2,58599000,1,0.33,223,600,-0.03205
6,-2,58599000,1,0.44,223,800,-0.03191
6,-2,58599000,1,0.55,223,1000,-0.03179
6,-2,58599000,1,0.66,223,1200,-0.03169
6,-2,2343960,25,0.33,223,600,-0.03091
6,-2,2343960,25,0.44,223,800,-0.03058
6,-2,2343960,25,0.55,223,1000,-0.03038
6,-2,2343960,25,0.66,223,1200,-0.02983
6,-2,1171980,50,0.33,223,600,-0.02993
6,-2,1171980,50,0.44,223,800,-0.02955
6,-2,1171980,50,0.55,223,1000,-0.02926
6,-2,1171980,50,0.66,223,1200,-0.02881
6,-2,4165700,50,0.67,55,300,-0.0299
6,-2,2622600,50,0.5,73,300,-0.02999
6,-2,1853700,50,0.4,91,300,-0.02999
6,-2,1388600,50,0.33,110,300,-0.02991
6,0,58599000,1,0.33,223,600,0.00962
6,0,58599000,1,0.44,223,800,0.00977
6,0,58599000,1,0.55,223,1000,0.00966
6,0,58599000,1,0.66,223,1200,0.01006
6,0,2343960,25,0.33,223,600,0.01099
6,0,2343960,25,0.44,223,800,0.01094
6,0,2343960,25,0.55,223,1000,0.01123
6,0,2343960,25,0.66,223,1200,0.01156
6,0,1171980,50,0.33,223,600,0.01156
6,0,1171980,50,0.44,223,800,0.0118
6,0,1171980,50,0.55,223,1000,0.0122
