马赫数,攻角,模型雷诺数,缩比,壁温比,静温,壁温,升力系数,阻力系数,俯仰力矩系数,压心,内流升力系数,内流阻力系数,内流俯仰力矩系数
4,-2,2103000,50,0.96,71,288,-0.067525421,0.057291855,0.030190574,2.757831709,0.006507905,0.015567739,0.016023629
4,0,2103000,50,0.96,71,288,0.036314897,0.056769877,0.01577864,1.888838356,0.011994846,0.017722843,0.007854938
4,2,2103000,50,0.96,71,288,0.14685012,0.064641294,0.076197039,1.812000817,0.018174372,0.02047485,0.021181594
4,4,2103000,50,0.96,71,288,0.264132486,0.082166249,0.11051911,1.91281843,0.025070806,0.02463024,0.02440074
4,6,2103000,50,0.96,71,288,0.38596883,0.109943838,0.148672022,1.947278552,0.032394566,0.030209162,0.028099834
4,8,2103000,50,0.96,71,288,0.510964141,0.149784509,0.189695038,1.963269639,0.040116966,0.038676405,0.032010941
4,0,2106000,50,0.72,95,288,0.034890523,0.057170926,0.016589754,1.847853106,0.010735127,0.017004453,0.009158758
4,2,2106000,50,0.72,95,288,0.145543406,0.06471598,0.076095992,1.808173279,0.016919847,0.019429365,0.021497527
4,4,2106000,50,0.72,95,288,0.263289621,0.081524063,0.110608871,1.911129061,0.024061229,0.023051337,0.024839756
4,6,2106000,50,0.72,95,288,0.385172628,0.109359484,0.148871679,1.945959385,0.031569851,0.028734833,0.028540865
4,8,2106000,50,0.72,95,288,0.509977411,0.149072772,0.189945428,1.962056379,0.039157541,0.037111677,0.032493737
4,-2,2103000,50,0.58,119,288,-0.069353566,0.0577815,0.02965202,2.739047738,0.00466812,0.014386372,0.016583851
4,0,2103000,50,0.58,119,288,0.034206608,0.05681693,0.017154499,1.821836703,0.010115258,0.015989675,0.010017454
4,2,2103000,50,0.58,119,288,0.144803935,0.064369665,0.0762116,1.804753704,0.016350678,0.018484904,0.021826017
4,4,2103000,50,0.58,119,288,0.26267619,0.081229675,0.110738862,1.909669611,0.023520019,0.022100116,0.025186495
4,6,2103000,50,0.58,119,288,0.38460563,0.109053275,0.149051039,1.944933137,0.031172059,0.027832897,0.028907179
4,8,2103000,50,0.58,119,288,0.509190442,0.148768113,0.189997897,1.961390905,0.038517834,0.036240878,0.03279033
4,-2,2103000,50,0.48,143,288,-0.069617083,0.057531005,0.029596956,2.736799832,0.004335843,0.013587452,0.016826608
4,0,2103000,50,0.48,143,288,0.033824644,0.056684256,0.017509421,1.805680561,0.009774629,0.015277822,0.010586695
4,2,2103000,50,0.48,143,288,0.144360981,0.064345997,0.07630699,1.802532927,0.01601743,0.017806414,0.022117486
4,4,2103000,50,0.48,143,288,0.261953032,0.081249699,0.111040588,1.907423907,0.023194619,0.021443439,0.025519817
4,6,2103000,50,0.48,143,288,0.383919923,0.109055622,0.149404057,1.943379347,0.030954801,0.0272468,0.029279114
4,8,2103000,50,0.48,143,288,0.508537765,0.148479101,0.190482949,1.959991691,0.038479539,0.03549044,0.033246232
4,-2,58599000,1,0.33,223,600,-0.03205,0.0192,0.005229426,2.483251934,-0.00296,0.00576,0.002194427
6,-2,58599000,1,0.44,223,800,-0.03191,0.01896,0.005213469,2.486713758,-0.00285,0.0059,0.002149952
6,-2,58599000,1,0.55,223,1000,-0.03179,0.01848,0.005253401,2.488586602,-0.00276,0.00575,0.002165639
6,-2,58599000,1,0.66,223,1200,-0.03169,0.01798,0.005310547,2.490911328,-0.0027,0.00553,0.002201448
6,-2,2343960,25,0.33,223,600,-0.03091,0.02241,0.005625451,2.505327858,-0.00287,0.0057,0.002419041
6,-2,2343960,25,0.44,223,800,-0.03058,0.02291,0.005696428,2.509612877,-0.00267,0.00666,0.002429265
6,-2,2343960,25,0.55,223,1000,-0.03038,0.02218,0.005596071,2.50753579,-0.00245,0.00632,0.002222686
6,-2,2343960,25,0.66,223,1200,-0.02983,0.02203,0.005615247,2.511574933,-0.00215,0.00652,0.002185994
6,-2,1171980,50,0.33,223,600,-0.02993,0.02331,0.005643563,2.511892073,-0.0299,0.01828,0.005872502
6,-2,1171980,50,0.44,223,800,-0.02955,0.02394,0.005439584,2.507414018,-0.02999,0.02032,0.005819603
6,-2,1171980,50,0.55,223,1000,-0.02926,0.02379,0.005498064,2.511237086,-0.02999,0.02189,0.005741998
6,-2,1171980,50,0.66,223,1200,-0.02881,0.02333,0.005522523,2.515021034,-0.02991,0.02316,0.005669013
6,-2,4165700,50,0.67,55,300,-0.0299,0.01828,0.005872502,2.51973808,-0.00218,0.00331,0.002420306
6,-2,2622600,50,0.5,73,300,-0.02999,0.02032,0.005819603,2.517384769,-0.00226,0.00408,0.002423622
6,-2,1853700,50,0.4,91,300,-0.02999,0.02189,0.005741998,2.514797079,-0.00231,0.00465,0.002380501
6,-2,1388600,50,0.33,110,300,-0.02991,0.02316,0.005669013,2.512869044,-0.00228,0.00508,0.002334059
6,0,58599000,1,0.33,223,600,0.00962,0.01898,0.015271397,0.735869986,-0.000987033,0.00624,0.003064263
6,0,58599000,1,0.44,223,800,0.00977,0.01891,0.015212798,0.76624038,-0.000889028,0.00655,0.002980451
6,0,58599000,1,0.55,223,1000,0.00966,0.01844,0.015441268,0.724858365,-0.000793975,0.00648,0.002974716
6,0,58599000,1,0.66,223,1200,0.01006,0.01803,0.015273018,0.805140709,-0.00072432,0.00628,0.00300544
6,0,2343960,25,0.33,223,600,0.01099,0.02178,0.015187383,0.941405854,-0.0005817,0.0058,0.003090718
6,0,2343960,25,0.44,223,800,0.01094,0.02217,0.015256606,0.928762377,-0.000670795,0.00666,0.003119575
6,0,2343960,25,0.55,223,1000,0.01123,0.02204,0.015219741,0.968058066,-0.000490721,0.00693,0.003035833
6,0,2343960,25,0.66,223,1200,0.01156,0.02154,0.01523904,1.005077303,-0.000286909,0.00678,0.003009407
6,0,1171980,50,0.33,223,600,0.01156,0.02246,0.015308307,0.999085299,0.01201,0.01737,0.015396268
6,0,1171980,50,0.44,223,800,0.0118,0.02313,0.015179528,1.036932663,0.0117,0.01942,0.015412747
6,0,1171980,50,0.55,223,1000,0.0122,0.02337,0.015044253,1.090197815,0.01165,0.02103,0.015372131
6,0,1171980,50,0.66,223,1200,0.0128,0.02313,0.014916277,1.157999193,0.01154,0.0223,0.015352404
6,0,4165700,50,0.67,55,300,0.01201,0.01737,0.015396268,1.041379318,0.000103349,0.00314,0.003208561
6,0,2622600,50,0.5,73,300,0.0117,0.01942,0.015412747,1.00600452,-8.72E-05,0.00393,0.003270668
6,0,1853700,50,0.4,91,300,0.01165,0.02103,0.015372131,1.003837151,-0.000113125,0.00452,0.003269655
6,0,1388600,50,0.33,110,300,0.01154,0.0223,0.015352404,0.992969019,-0.000239234,0.00496,0.003279684
6,2,58599000,1,0.33,223,600,0.05508,0.02229,0.028029552,1.82123078,0.00155,0.00717,0.004349851
6,2,58599000,1,0.44,223,800,0.0553,0.0224,0.027893759,1.818925396,0.00169,0.00765,0.004202382
6,2,58599000,1,0.55,223,1000,0.05544,0.02213,0.027896522,1.820149315,0.00175,0.00771,0.004198489
6,2,58599000,1,0.66,223,1200,0.05555,0.0217,0.027955043,1.820092233,0.00178,0.00756,0.00425359
6,2,2343960,25,0.33,223,600,0.05686,0.02461,0.027598584,1.837955501,0.00241,0.00612,0.00417159
6,2,2343960,25,0.44,223,800,0.05668,0.02517,0.02764739,1.835552984,0.00221,0.00715,0.004203452
6,2,2343960,25,0.55,223,1000,0.0568,0.02532,0.027684677,1.835927041,0.00223,0.00771,0.004210694
6,2,2343960,25,0.66,223,1200,0.05712,0.025,0.027669404,1.838925007,0.00244,0.00774,0.004164797
6,2,1171980,50,0.33,223,600,0.05712,0.02526,0.027664271,1.839014869,0.05816,0.02008,0.027461811
6,2,1171980,50,0.44,223,800,0.05723,0.02595,0.027491514,1.842964408,0.05745,0.02209,0.027710188
6,2,1171980,50,0.55,223,1000,0.05762,0.02636,0.027318712,1.849214769,0.05723,0.02375,0.027698003
6,2,1171980,50,0.66,223,1200,0.05798,0.02642,0.027186119,1.854445453,0.05718,0.0251,0.027660097
6,2,4165700,50,0.67,55,300,0.05816,0.02008,0.027461811,1.851156392,0.00345,0.00341,0.004068217
6,2,2622600,50,0.5,73,300,0.05745,0.02209,0.027710188,1.840997599,0.00297,0.00413,0.004342285
6,2,1853700,50,0.4,91,300,0.05723,0.02375,0.027698003,1.839356342,0.00284,0.00476,0.004368681
6,2,1388600,50,0.33,110,300,0.05718,0.0251,0.027660097,1.839596062,0.00281,0.00527,0.004366458
6,4,58599000,1,0.33,223,600,0.10324,0.02948,0.042300625,1.920642566,0.00462,0.00838,0.006123553
6,4,58599000,1,0.44,223,800,0.10342,0.02979,0.042165439,1.915622648,0.00469,0.00907,0.005980532
6,4,58599000,1,0.55,223,1000,0.10362,0.02969,0.042111125,1.916933748,0.00478,0.00929,0.005921092
6,4,2343960,25,0.33,223,600,0.10559,0.03147,0.041719047,1.928229183,0.00602,0.00683,0.00580116
6,4,2343960,25,0.44,223,800,0.10536,0.03199,0.04175598,1.927016135,0.00576,0.00783,0.005836128
6,4,2343960,25,0.55,223,1000,0.10546,0.03232,0.041717196,1.927759692,0.00577,0.00856,0.005782507
6,4,2343960,25,0.66,223,1200,0.10575,0.03225,0.041662719,1.929359634,0.00595,0.00884,0.005714251
6,4,1171980,50,0.33,223,600,0.10602,0.03226,0.041436968,1.932492285,0.00669,0.00622,0.005777903
6,4,1171980,50,0.44,223,800,0.10608,0.03294,0.041271417,1.93427397,0.00668,0.00731,0.005605664
6,4,1171980,50,0.55,223,1000,0.10629,0.03349,0.041033351,1.937282426,0.00671,0.00822,0.005370696
6,4,1171980,50,0.66,223,1200,0.10681,0.03394,0.040846649,1.940909881,0.00696,0.00898,0.005205739
6,4,4165700,50,0.67,55,300,0.10712,0.02707,0.041097469,1.939675106,0.00714,0.00422,0.005299223
6,4,2622600,50,0.5,73,300,0.10669,0.02911,0.041276822,1.93644776,0.00712,0.00502,0.005517817
6,4,1853700,50,0.4,91,300,0.10637,0.03074,0.04134255,1.934665943,0.00695,0.00563,0.005634905
6,4,1388600,50,0.33,110,300,0.1061,0.03207,0.041405005,1.933088237,0.00675,0.00611,0.005744925
6,4,3740900,50,0.33,60,163,0.10525,0.02494,0.041867371,1.925543585,0.00608,0.0023,0.005860214
6,4,3740900,50,0.61,60,300,0.10563,0.02646,0.041436849,1.931050374,0.00592,0.00435,0.005318362
6,4,3740900,50,1.04,60,515,0.10698,0.02803,0.041023756,1.939862064,0.00678,0.00675,0.00488584
6,6,58599000,1,0.33,223,600,0.15469,0.04087,0.057704697,1.958378602,0.00904,0.00989,0.008051917
6,6,58599000,1,0.44,223,800,0.1548,0.04128,0.057579815,1.951370702,0.00902,0.01068,0.007917997
6,6,58599000,1,0.55,223,1000,0.155,0.04135,0.057492845,1.952411753,0.0091,0.01109,0.007816971
6,6,58599000,1,0.66,223,1200,0.15527,0.04109,0.057435064,1.953428884,0.00928,0.01111,0.007743124
6,6,2343960,25,0.33,223,600,0.15708,0.0429,0.057402415,1.957899067,0.01075,0.00816,0.007791674
6,6,2343960,25,0.44,223,800,0.15682,0.04328,0.057426865,1.957137282,0.0105,0.00903,0.007804548
6,6,2343960,25,0.55,223,1000,0.1567,0.04358,0.057508583,1.956335357,0.01035,0.00976,0.007865209
6,6,2343960,25,0.66,223,1200,0.15683,0.04374,0.057496252,1.956718195,0.01041,0.01027,0.007832744
6,6,1171980,50,0.33,223,600,0.15757,0.04387,0.056807957,1.962808127,0.16329,0.04154,0.056101954
6,6,1171980,50,0.44,223,800,0.1577,0.04502,0.056322183,1.966185693,0.15867,0.04137,0.056419271
6,6,1171980,50,0.55,223,1000,0.15807,0.0459,0.056151708,1.968100157,0.15794,0.04269,0.056507169
6,6,1171980,50,0.66,223,1200,0.16072,0.04718,0.055620395,1.977263179,0.15761,0.04378,0.056645307
6,6,4165700,50,0.67,55,300,0.16329,0.04154,0.056101954,1.979760831,0.01367,0.00833,0.00736442
6,6,2622600,50,0.5,73,300,0.15867,0.04137,0.056419271,1.967757162,0.01185,0.00712,0.007061263
6,6,1853700,50,0.4,91,300,0.15794,0.04269,0.056507169,1.965557157,0.01165,0.00747,0.007136538
6,6,1388600,50,0.33,110,300,0.15761,0.04378,0.056645307,1.963931604,0.01154,0.00771,0.007322489
6,8,58599000,1,0.33,223,600,0.20912,0.05701,0.074795045,1.975480333,0.01482,0.01209,0.010226015
6,8,58599000,1,0.44,223,800,0.20918,0.0574,0.074672923,1.966354066,0.01477,0.01287,0.010075183
6,8,58599000,1,0.55,223,1000,0.20929,0.05759,0.074592211,1.966927336,0.01482,0.0134,0.009955692
6,8,58599000,1,0.66,223,1200,0.20954,0.05746,0.074504145,1.967772842,0.015,0.01358,0.009843428
6,8,2343960,25,0.33,223,600,0.21092,0.05925,0.075121784,1.967170885,0.0164,0.01036,0.010272151
6,8,2343960,25,0.44,223,800,0.21076,0.05948,0.074998597,1.967484991,0.01631,0.01112,0.010123182
6,8,2343960,25,0.55,223,1000,0.21076,0.05973,0.074944462,1.967741845,0.01631,0.01184,0.010046926
6,8,2343960,25,0.66,223,1200,0.21084,0.05996,0.074885979,1.968154148,0.01637,0.01247,0.009979121
6,8,1171980,50,0.33,223,600,0.21114,0.0617,0.074091976,1.972419361,0.22377,0.06698,0.073821903
6,8,1171980,50,0.44,223,800,0.21379,0.06369,0.073473552,1.979661731,0.22093,0.06492,0.0734375
6,8,1171980,50,0.55,223,1000,0.21616,0.06522,0.073417141,1.983690749,0.21682,0.06369,0.073673963
6,8,1171980,50,0.66,223,1200,0.21841,0.06703,0.073037229,1.988929099,0.213,0.06282,0.073985982
6,8,4165700,50,0.67,55,300,0.22377,0.06698,0.073821903,1.993432529,0.0232,0.01858,0.010638631
6,8,2622600,50,0.5,73,300,0.22093,0.06492,0.0734375,1.990931668,0.02101,0.01581,0.00983773
6,8,1853700,50,0.4,91,300,0.21682,0.06369,0.073673963,1.983540125,0.01858,0.01379,0.009785411
6,8,1388600,50,0.33,110,300,0.213,0.06282,0.073985982,1.975981304,0.01738,0.01236,0.009619623
