马赫数,攻角,模型雷诺数,缩比,壁温比,静温,壁温
4,-2,2103000,50,0.96,71,288
4,0,2103000,50,0.96,71,288
4,2,2103000,50,0.96,71,288
4,4,2103000,50,0.96,71,288
4,6,2103000,50,0.96,71,288
4,8,2103000,50,0.96,71,288
4,0,2106000,50,0.72,95,288
4,2,2106000,50,0.72,95,288
4,4,2106000,50,0.72,95,288
4,6,2106000,50,0.72,95,288
4,8,2106000,50,0.72,95,288
4,-2,2103000,50,0.58,119,288
4,0,2103000,50,0.58,119,288
4,2,2103000,50,0.58,119,288
4,4,2103000,50,0.58,119,288
4,6,2103000,50,0.58,119,288
4,8,2103000,50,0.58,119,288
4,-2,2103000,50,0.48,143,288
4,0,2103000,50,0.48,143,288
4,2,2103000,50,0.48,143,288
4,4,2103000,50,0.48,143,288
4,6,2103000,50,0.48,143,288
4,8,2103000,50,0.48,143,288
4,-2,58599000,1,0.33,223,600
6,-2,58599000,1,0.44,223,800
6,-2,58599000,1,0.55,223,1000
6,-2,58599000,1,0.66,223,1200
6,-2,2343960,25,0.33,223,600
6,-2,2343960,25,0.44,223,800
6,-2,2343960,25,0.55,223,1000
6,-2,2343960,25,0.66,223,1200
6,-2,1171980,50,0.33,223,600
6,-2,1171980,50,0.44,223,800
6,-2,1171980,50,0.55,223,1000
6,-2,1171980,50,0.66,223,1200
6,-2,4165700,50,0.67,55,300
6,-2,2622600,50,0.5,73,300
6,-2,1853700,50,0.4,91,300
6,-2,1388600,50,0.33,110,300
6,0,58599000,1,0.33,223,600
6,0,58599000,1,0.44,223,800
6,0,58599000,1,0.55,223,1000
6,0,58599000,1,0.66,223,1200
6,0,2343960,25,0.33,223,600
6,0,2343960,25,0.44,223,800
6,0,2343960,25,0.55,223,1000
6,0,2343960,25,0.66,223,1200
6,0,1171980,50,0.33,223,600
6,0,1171980,50,0.44,223,800
6,0,1171980,50,0.55,223,1000
6,0,1171980,50,0.66,223,1200
6,0,4165700,50,0.67,55,300
6,0,2622600,50,0.5,73,300
6,0,1853700,50,0.4,91,300
6,0,1388600,50,0.33,110,300
6,2,58599000,1,0.33,223,600
6,2,58599000,1,0.44,223,800
6,2,58599000,1,0.55,223,1000
6,2,58599000,1,0.66,223,1200
6,2,2343960,25,0.33,223,600
6,2,2343960,25,0.44,223,800
6,2,2343960,25,0.55,223,1000
6,2,2343960,25,0.66,223,1200
6,2,1171980,50,0.33,223,600
6,2,1171980,50,0.44,223,800
6,2,1171980,50,0.55,223,1000
6,2,1171980,50,0.66,223,1200
6,2,4165700,50,0.67,55,300
6,2,2622600,50,0.5,73,300
6,2,1853700,50,0.4,91,300
6,2,1388600,50,0.33,110,300
6,4,58599000,1,0.33,223,600
6,4,58599000,1,0.44,223,800
6,4,58599000,1,0.55,223,1000
6,4,2343960,25,0.33,223,600
6,4,2343960,25,0.44,223,800
6,4,2343960,25,0.55,223,1000
6,4,2343960,25,0.66,223,1200
6,4,1171980,50,0.33,223,600
6,4,1171980,50,0.44,223,800
6,4,1171980,50,0.55,223,1000
6,4,1171980,50,0.66,223,1200
6,4,4165700,50,0.67,55,300
6,4,2622600,50,0.5,73,300
6,4,1853700,50,0.4,91,300
6,4,1388600,50,0.33,110,300
6,4,3740900,50,0.33,60,163
6,4,3740900,50,0.61,60,300
6,4,3740900,50,1.04,60,515
6,6,58599000,1,0.33,223,600
6,6,58599000,1,0.44,223,800
6,6,58599000,1,0.55,223,1000
6,6,58599000,1,0.66,223,1200
6,6,2343960,25,0.33,223,600
6,6,2343960,25,0.44,223,800
6,6,2343960,25,0.55,223,1000
6,6,2343960,25,0.66,223,1200
6,6,1171980,50,0.33,223,600
6,6,1171980,50,0.44,223,800
6,6,1171980,50,0.55,223,1000
6,6,1171980,50,0.66,223,1200
6,6,4165700,50,0.67,55,300
6,6,2622600,50,0.5,73,300
6,6,1853700,50,0.4,91,300
6,6,1388600,50,0.33,110,300
6,8,58599000,1,0.33,223,600
6,8,58599000,1,0.44,223,800
6,8,58599000,1,0.55,223,1000
6,8,58599000,1,0.66,223,1200
6,8,2343960,25,0.33,223,600
6,8,2343960,25,0.44,223,800
6,8,2343960,25,0.55,223,1000
6,8,2343960,25,0.66,223,1200
6,8,1171980,50,0.33,223,600
6,8,1171980,50,0.44,223,800
6,8,1171980,50,0.55,223,1000
6,8,1171980,50,0.66,223,1200
6,8,4165700,50,0.67,55,300
6,8,2622600,50,0.5,73,300
6,8,1853700,50,0.4,91,300
6,8,1388600,50,0.33,110,300
